epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.3879,1.53166,1.90994,1.85671,0.0087,0.16667,0.0033,0.00109,3.30632,7.1102,4.11476,0.0011882,0.0011882,0.0011882
43,43.2406,1.54411,1.82722,1.82491,0.06261,0.16667,0.02957,0.01245,2.99665,5.39607,3.9145,0.0011684,0.0011684,0.0011684
44,44.4277,1.52065,1.74556,1.82547,0.18867,0.5,0.11301,0.04318,2.54785,4.63969,3.21734,0.0011486,0.0011486,0.0011486
45,45.3128,1.49551,1.8207,1.81514,0.06177,0.33333,0.03016,0.01018,2.7504,8.11019,3.86405,0.0011288,0.0011288,0.0011288
46,46.1505,1.42979,2.02628,1.79911,0.06177,0.33333,0.03016,0.01018,2.7504,8.11019,3.86405,0.001109,0.001109,0.001109
47,47.0066,1.38163,1.80663,1.69479,0.25769,0.33333,0.16236,0.04652,2.50814,5.11739,3.98809,0.0010892,0.0010892,0.0010892
48,48.0307,1.51807,1.85629,1.76527,0.20912,0.66667,0.16615,0.05782,2.31569,5.16743,3.72941,0.0010694,0.0010694,0.0010694
49,49.4359,1.45062,1.78915,1.72993,0.26344,0.66667,0.24264,0.06923,2.409,5.92588,3.83134,0.0010496,0.0010496,0.0010496
50,50.7318,1.51236,1.81361,1.76643,0.26344,0.66667,0.24264,0.06923,2.409,5.92588,3.83134,0.0010298,0.0010298,0.0010298
51,52.1335,1.47859,1.9127,1.75502,0.31007,0.5,0.221,0.06591,2.52977,4.68017,3.66792,0.00101,0.00101,0.00101
52,53.1341,1.40807,1.66338,1.68948,0.17406,0.5,0.12005,0.04584,2.47605,4.72813,3.73461,0.0009902,0.0009902,0.0009902
53,54.0419,1.48925,1.94201,1.80111,0.36859,0.33333,0.1749,0.06517,2.23605,4.62265,3.50357,0.0009704,0.0009704,0.0009704
54,54.9554,1.37978,1.6096,1.67592,0.36859,0.33333,0.1749,0.06517,2.23605,4.62265,3.50357,0.0009506,0.0009506,0.0009506
55,55.7765,1.407,1.69018,1.68109,0.385,0.33333,0.20594,0.04564,2.3602,3.30466,3.49028,0.0009308,0.0009308,0.0009308
56,56.608,1.37429,1.7377,1.73462,0.48102,0.5,0.41877,0.08004,2.41313,3.6052,3.35442,0.000911,0.000911,0.000911
57,57.4675,1.40545,1.71764,1.68231,0.65524,0.5,0.52718,0.09485,2.41361,3.92542,3.45065,0.0008912,0.0008912,0.0008912
58,58.3517,1.35521,1.67946,1.71484,0.65524,0.5,0.52718,0.09485,2.41361,3.92542,3.45065,0.0008714,0.0008714,0.0008714
59,59.3503,1.37342,1.62502,1.68493,0.72458,0.5,0.48719,0.0867,2.36799,3.92811,3.40152,0.0008516,0.0008516,0.0008516
60,60.1671,1.33036,1.58321,1.59257,0.4993,0.33263,0.23979,0.06802,2.19042,4.22411,3.29652,0.0008318,0.0008318,0.0008318
61,61.0024,1.38753,1.66031,1.6993,0.22889,0.16667,0.10776,0.03486,2.33883,4.03616,3.45729,0.000812,0.000812,0.000812
62,61.9185,1.38043,1.72428,1.73258,0.22889,0.16667,0.10776,0.03486,2.33883,4.03616,3.45729,0.0007922,0.0007922,0.0007922
63,62.9447,1.35012,1.58315,1.70595,0.17023,0.33333,0.13479,0.04807,2.34487,3.69751,3.33883,0.0007724,0.0007724,0.0007724
64,64.2285,1.31585,1.76823,1.71088,0.20078,0.66667,0.1682,0.04636,2.44002,3.23991,3.35895,0.0007526,0.0007526,0.0007526
65,65.6344,1.40003,1.67198,1.69246,0.36113,0.33333,0.22408,0.05185,2.60126,3.0078,3.28079,0.0007328,0.0007328,0.0007328
66,66.8708,1.27971,1.49405,1.61366,0.36113,0.33333,0.22408,0.05185,2.60126,3.0078,3.28079,0.000713,0.000713,0.000713
67,67.7905,1.29539,1.55708,1.62342,0.28683,0.5,0.18119,0.04402,2.60736,2.76519,3.27009,0.0006932,0.0006932,0.0006932
68,68.7005,1.26206,1.53364,1.60315,0.34053,0.5,0.222,0.04138,2.59173,3.21808,3.32681,0.0006734,0.0006734,0.0006734
69,70.228,1.28675,1.62226,1.65684,0.14071,0.16667,0.06862,0.02197,2.45109,4.03571,3.37652,0.0006536,0.0006536,0.0006536
70,71.1345,1.23783,1.41251,1.58884,0.14071,0.16667,0.06862,0.02197,2.45109,4.03571,3.37652,0.0006338,0.0006338,0.0006338
71,71.985,1.34665,1.56929,1.6386,0.09175,0.16667,0.04405,0.01462,2.4885,3.82465,3.53859,0.000614,0.000614,0.000614
